Country,Clicks,Impressions,CTR,Position
India,1,67,1.49%,23.15
United States,0,109,0%,2.2
Brazil,0,6,0%,1.67
Mexico,0,3,0%,4
Argentina,0,2,0%,1
Colombia,0,2,0%,1
France,0,2,0%,1
Canada,0,2,0%,1.5
United Kingdom,0,2,0%,5.5
United Arab Emirates,0,1,0%,1
Australia,0,1,0%,1
Chile,0,1,0%,1
China,0,1,0%,1
Denmark,0,1,0%,1
Indonesia,0,1,0%,1
Italy,0,1,0%,1
South Korea,0,1,0%,1
Poland,0,1,0%,1
Russia,0,1,0%,1
Serbia,0,1,0%,1
Samoa,0,1,0%,1
Philippines,0,1,0%,2
Ukraine,0,1,0%,2
Thailand,0,1,0%,9
Netherlands,0,1,0%,11